Time	Ru	Re	Wa	Cpu0	I/O Queue
====	==	==	==	====	=========
0.0	1	0	0	I-Chrome	<<
0.1	1	0	0	I-Chrome	<<
0.2	1	0	0	I-Chrome	<<
0.3	1	0	0	I-Chrome	<<
0.4	1	0	0	I-Chrome	<<
0.5	1	0	0	I-Chrome	<<
0.6	1	0	0	I-Chrome	<<
0.7	1	0	0	I-Chrome	<<
0.8	1	0	0	I-Chrome	<<
0.9	1	0	0	I-Chrome	<<
1.0	1	0	1	I-Word	<<I-Chrome<<
1.1	1	0	1	I-Word	<<I-Chrome<<
1.2	1	0	1	I-Word	<<I-Chrome<<
1.3	1	0	1	I-Word	<<I-Chrome<<
1.4	1	0	1	I-Word	<<I-Chrome<<
1.5	1	0	1	I-Word	<<I-Chrome<<
1.6	1	0	1	I-Word	<<I-Chrome<<
1.7	1	0	1	I-Word	<<I-Chrome<<
1.8	1	0	1	I-Word	<<I-Chrome<<
1.9	1	0	1	I-Word	<<I-Chrome<<
2.0	1	1	1	I-Terminal	<<I-Chrome<<
2.1	1	1	1	I-Terminal	<<I-Chrome<<
2.2	1	1	1	I-Terminal	<<I-Chrome<<
2.3	1	1	1	I-Terminal	<<I-Chrome<<
2.4	1	1	1	I-Terminal	<<I-Chrome<<
2.5	1	1	1	I-Terminal	<<I-Chrome<<
2.6	1	1	1	I-Terminal	<<I-Chrome<<
2.7	1	1	1	I-Terminal	<<I-Chrome<<
2.8	1	1	1	I-Terminal	<<I-Chrome<<
2.9	1	1	1	I-Terminal	<<I-Chrome<<
3.0	1	3	0	I-Chrome	<<
3.1	1	3	0	I-Chrome	<<
3.2	1	3	0	I-Chrome	<<
3.3	1	3	0	I-Chrome	<<
3.4	1	3	0	I-Chrome	<<
3.5	1	3	0	I-Chrome	<<
3.6	1	3	0	I-Chrome	<<
3.7	1	3	0	I-Chrome	<<
3.8	1	3	0	I-Chrome	<<
3.9	1	3	0	I-Chrome	<<
4.0	1	2	2	I-Word	<<I-Chrome<<I-Terminal<<
4.1	1	2	2	I-Word	<<I-Chrome<<I-Terminal<<
4.2	1	2	2	I-Word	<<I-Chrome<<I-Terminal<<
4.3	1	2	2	I-Word	<<I-Chrome<<I-Terminal<<
4.4	1	2	2	I-Word	<<I-Chrome<<I-Terminal<<
4.5	1	2	2	I-Word	<<I-Chrome<<I-Terminal<<
4.6	1	2	2	I-Word	<<I-Chrome<<I-Terminal<<
4.7	1	2	2	I-Word	<<I-Chrome<<I-Terminal<<
4.8	1	2	2	I-Word	<<I-Chrome<<I-Terminal<<
